feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
ST_POA_ATTEMPT_TO_COMMIT_RAPE,0.0,0.0,0.0,0.0,14,1.92
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,0.0,0.0,0.0,0.0,13,1.79
IPC_SEDITION,0.0,0.0,0.0,0.0,12,1.65
SC_IPC_KIDNAPING_ABDUCTION,0.0,0.0,0.0,0.0,12,1.65
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,0.0,0.0,0.0,0.0,12,1.65
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.0,0.0,0.0,0.0,12,1.65
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,0.0,0.0,0.0,0.0,11,1.51
SC_IPC_ARSON,0.0,0.0,0.0,0.0,11,1.51
SC_IPC_ROBBERY,0.0,0.0,0.0,0.0,11,1.51
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,0.0,0.0,0.0,0.0,11,1.51
ST_IPC_MURDER,0.0,0.0,0.0,0.0,11,1.51
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.0,0.0,0.0,0.0,11,1.51
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,0.0,0.0,0.0,0.0,11,1.51
ST_IPC_KIDNAPING_ABDUCTION,0.0,0.0,0.0,0.0,10,1.37
ST_POA_ROBBERY,0.0,0.0,0.0,0.0,10,1.37
ST_IPC_ARSON,0.0,0.0,0.0,0.0,9,1.24
SC_POA_VOYEURISM,0.0,0.0,0.0,0.0,9,1.24
ST_IPC_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,9,1.24
WOMEN_DACOITY_WITH_MURDER,0.0,0.0,0.0,0.0,8,1.1
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,0.0,0.0,0.0,0.0,8,1.1
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,0.0,0.0,0.0,0.0,8,1.1
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,0.0,0.0,0.0,0.0,7,0.96
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,0.0,0.0,0.0,0.0,7,0.96
ST_IPC_RIOTS,0.0,0.0,0.0,0.0,7,0.96
SC_IPC_STALKING,0.0,0.0,0.0,0.0,7,0.96
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,0.0,0.0,0.0,0.0,7,0.96
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,0.0,0.0,0.0,0.0,7,0.96
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,0.0,0.0,0.0,0.0,7,0.96
ST_IPC_OTHER_KIDNAPPING,0.0,0.0,0.0,0.0,6,0.82
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,0.0,0.0,0.0,0.0,5,0.69
IPC_CUSTODIAL_GANG_RAPE,0.0,0.0,0.0,0.0,5,0.69
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.0,0.0,0.0,0.0,5,0.69
WOMEN_CUSTODIAL_GANG_RAPE,0.0,0.0,0.0,0.0,5,0.69
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,0.0,0.0,0.0,0.0,4,0.55
ST_IPC_STALKING,0.0,0.0,0.0,0.0,4,0.55
IPC_RIOTS_SECTARIAN,0.0,0.0,0.0,0.0,4,0.55
ST_IPC_ROBBERY,0.0,0.0,0.0,0.0,4,0.55
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,0.0,4,0.55
SC_IPC_OTHER_DACOITY,0.0,0.0,0.0,0.0,4,0.55
SC_IPC_DACOITY,0.0,0.0,0.0,0.0,4,0.55
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,0.0,0.0,0.0,0.0,3,0.41
ST_POA_VOYEURISM,0.0,0.0,0.0,0.0,3,0.41
SC_POA_ACID_ATTACK,0.0,0.0,0.0,0.0,2,0.27
ST_POA_DACOITY,0.0,0.0,0.0,0.0,2,0.27
ST_POA_OTHER_DACOITY,0.0,0.0,0.0,0.0,2,0.27
