column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,225,9856,2.28,9631,432
IPC_AUTO_THEFT,float64,225,9856,2.28,9631,1015
IPC_ROBBERY,float64,225,9856,2.28,9631,323
IPC_CUSTODIAL_RAPE,float64,225,9856,2.28,9631,16
IPC_CRIMINAL_BREACH_OF_TRUST,float64,225,9856,2.28,9631,276
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,float64,225,9856,2.28,9631,732
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,float64,225,9856,2.28,9631,95
IPC_KIDNAPPING_ABDUCTION,float64,225,9856,2.28,9631,413
IPC_DOWRY_DEATHS,float64,225,9856,2.28,9631,128
IPC_OTHER_IPC_CRIMES,float64,225,9856,2.28,9631,3072
IPC_CAUSING_DEATH_BY_NEGLIGENCE,float64,225,9856,2.28,9631,696
IPC_AVAILABLE,bool,0,9856,0.0,9856,2
SC_AVAILABLE,bool,0,9856,0.0,9856,2
ST_AVAILABLE,bool,0,9856,0.0,9856,2
CHILDREN_AVAILABLE,bool,0,9856,0.0,9856,2
STATE,object,0,9856,0.0,9856,72
YEAR,int64,0,9856,0.0,9856,14
UNIT_NAME,object,0,9856,0.0,9856,1490
WOMEN_AVAILABLE,bool,0,9856,0.0,9856,2
