column,missing_count,missing_pct,non_missing_count
IPC_DOWRY_DEATHS,225,2.28,9631
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,225,2.28,9631
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,225,2.28,9631
IPC_CRIMINAL_BREACH_OF_TRUST,225,2.28,9631
IPC_AUTO_THEFT,225,2.28,9631
IPC_CAUSING_DEATH_BY_NEGLIGENCE,225,2.28,9631
IPC_OTHER_IPC_CRIMES,225,2.28,9631
IPC_ARSON,225,2.28,9631
IPC_CHEATING,225,2.28,9631
IPC_RIOTS,225,2.28,9631
IPC_THEFT,225,2.28,9631
IPC_ROBBERY,225,2.28,9631
IPC_DACOITY,225,2.28,9631
IPC_RAPE,225,2.28,9631
IPC_MURDER,225,2.28,9631
UNIT_NAME,0,0.0,9856
IPC_AVAILABLE,0,0.0,9856
SC_AVAILABLE,0,0.0,9856
ST_AVAILABLE,0,0.0,9856
CHILDREN_AVAILABLE,0,0.0,9856
WOMEN_AVAILABLE,0,0.0,9856
YEAR,0,0.0,9856
STATE,0,0.0,9856
