column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,ST,OTHER_CRIME,True,float64,9128,92.61,68
ST_IPC_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,7
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,6
ST_IPC_RAPE,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,10
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,4
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,14
ST_IPC_SEXUAL_HARASSMENT,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,7
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,ST,OTHER_CRIME,False,float64,9128,92.61,6
ST_IPC_VOYEURISM,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,1
ST_IPC_STALKING,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,3
ST_IPC_OTHER_SEXUAL_HARASSMENT,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,12
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,ST,OTHER_CRIME,False,float64,9128,92.61,5
ST_IPC_KIDNAPPING_ABDUCTION,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,10
ST_IPC_KIDNAPING_ABDUCTION,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,7
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,1
ST_IPC_KIDNAPPING_FOR_RANSOM,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,2
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,7
ST_IPC_OTHER_KIDNAPPING,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,4
ST_IPC_DACOITY,ST,DACOITY_ROBBERY,False,float64,9128,92.61,1
ST_IPC_DACOITY_WITH_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,1
ST_IPC_OTHER_DACOITY,ST,DACOITY_ROBBERY,False,float64,9128,92.61,1
ST_IPC_ROBBERY,ST,DACOITY_ROBBERY,False,float64,9128,92.61,5
ST_IPC_ARSON,ST,ARSON,False,float64,9128,92.61,4
ST_IPC_GRIEVOUS_HURT,ST,HURT_ASSAULT,False,float64,9128,92.61,8
ST_IPC_HURT,ST,HURT_ASSAULT,False,float64,9128,92.61,8
ST_IPC_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_IPC_ATTEMPT_TO_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_IPC_RIOTS,ST,RIOTS_PUBLIC_ORDER,False,float64,9128,92.61,6
ST_IPC_OTHER_IPC_CRIMES,ST,OTHER_CRIME,True,float64,9128,92.61,30
ST_TOTAL_IPC_CRIMES_AGAINST_STS,ST,OTHER_CRIME,True,float64,9128,92.61,31
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_OTHER_SLL_CRIME_AGAINST_STS,ST,OTHER_CRIME,False,float64,9128,92.61,9
ST_TOTAL_CRIMES_AGAINST_STS,ST,OTHER_CRIME,True,float64,9128,92.61,79
CHILDREN_MURDER,CHILDREN,MURDER_HOMICIDE,False,float64,1737,17.62,42
CHILDREN_RAPE,CHILDREN,RAPE_SEXUAL_OFFENCES,False,float64,1002,10.17,109
CHILDREN_KIDNAPPING_AND_ABDUCTION,CHILDREN,KIDNAPPING_ABDUCTION,False,float64,1002,10.17,227
CHILDREN_FOETICIDE,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,19
